,노선번호,순서(nodeord),노선아이디(routeid),정류소아이디(nodeid),정류소명(nodenm),정류소번호(nodeno),위도(Y)좌표(gpslati),경도(X)좌표(gpslong)
25,13,stop1,CAB285000011,CAB288002219,아산역,2219,127.10359,36.79148
26,13,stop2,CAB285000011,CAB285000851,신방초원아파트,851,127.12431111,36.78729211
27,13,stop3,CAB285000011,CAB285000670,버들육거리,670,127.1524533,36.8054539
28,13,stop4,CAB285000011,CAB285000685,종합터미널,685,127.1556582,36.8187607
29,13,stop5,CAB285000011,CAB285001052,상명대학교,1052,127.17395407,36.83428295
30,14,stop1,CAB285000012,CAB285001024,두정도서관,1024,127.1355327,36.8337435
31,14,stop2,CAB285000012,CAB285001035,두정역,1035,127.14790527,36.83266484
32,14,stop3,CAB285000012,CAB285000685,종합터미널,685,127.1556582,36.8187607
33,14,stop4,CAB285000012,CAB285001052,상명대학교,1052,127.17395407,36.83428295
34,14,stop5,CAB285000012,CAB285002281,백석대 정문,2281,127.1813974,36.84122964
35,14,stop1,CAB285000013,CAB285002282,백석대 정문,2282,127.18155678,36.84135168
36,14,stop2,CAB285000013,CAB285000642,상명대학교,642,127.17300075,36.8330796
37,14,stop3,CAB285000013,CAB285000687,고속터미널,687,127.15454074,36.81895798
38,14,stop4,CAB285000013,CAB285001034,두정역,1034,127.14733408,36.83304298
39,14,stop5,CAB285000013,CAB285001025,두정도서관,1025,127.13543574,36.83388966
40,20,stop1,CAB285000016,CAB285000640,단대병원,640,127.1741122,36.8413349
41,20,stop2,CAB285000016,CAB285000687,고속터미널,687,127.15454074,36.81895798
42,20,stop3,CAB285000016,CAB285001034,두정역,1034,127.14733408,36.83304298
43,20,stop4,CAB285000016,CAB285000951,계광중학교,951,127.13263627,36.80775156
44,20,stop5,CAB285000016,CAB285000863,용암마을,863,127.12001582,36.80105907
45,20,stop1,CAB285000017,CAB285000862,용암마을,862,127.11944907,36.80091465
46,20,stop2,CAB285000017,CAB285000950,계광중학교,950,127.13292741,36.80808965
47,20,stop3,CAB285000017,CAB285001035,두정역,1035,127.14790527,36.83266484
48,20,stop4,CAB285000017,CAB285000685,종합터미널,685,127.1556582,36.8187607
49,20,stop5,CAB285000017,CAB285001715,단대병원,1715,127.1743703,36.8412905
50,24,stop1,CAB285000024,CAB285001047,호서대(천안),1047,127.17974408,36.83058632
51,24,stop2,CAB285000024,CAB285000686,종합터미널,686,127.15564408,36.81897133
52,24,stop3,CAB285000024,CAB285000655,천안역 동부광장,655,127.147642,36.8083388
53,24,stop4,CAB285000024,CAB285000737,천안동중학교,737,127.16568907,36.78786298
54,24,stop5,CAB285000024,CAB285000744,천안삼거리장례식장,744,127.1793202,36.77312583
55,24,stop1,CAB285000025,CAB285000745,천안삼거리장례식장,745,127.17937407,36.77375795
56,24,stop2,CAB285000025,CAB285071666,구성동중앙신협,71666,127.1595407,36.7968004
57,24,stop3,CAB285000025,CAB285000656,천안역 동부광장,656,127.1477157,36.8081632
58,24,stop4,CAB285000025,CAB285000685,종합터미널,685,127.1556582,36.8187607
59,24,stop5,CAB285000025,CAB285001046,호서대(천안),1046,127.17972823,36.83039064
60,81,stop1,CAB285000293,CAB285001047,호서대(천안),1047,127.17974408,36.83058632
61,81,stop2,CAB285000293,CAB285000687,고속터미널,687,127.15454074,36.81895798
62,81,stop3,CAB285000293,CAB285001034,두정역,1034,127.14733408,36.83304298
63,81,stop4,CAB285000293,CAB285001025,두정도서관,1025,127.13543574,36.83388966
64,81,stop5,CAB285000293,CAB285071394,코스트코,2327,127.1069906,36.8431558
65,81,stop1,CAB285000294,CAB285071390,코스트코,2328,127.1072613,36.8428592
66,81,stop2,CAB285000294,CAB285001024,두정도서관,1024,127.1355327,36.8337435
67,81,stop3,CAB285000294,CAB285001035,두정역,1035,127.14790527,36.83266484
68,81,stop4,CAB285000294,CAB285000685,종합터미널,685,127.1556582,36.8187607
69,81,stop5,CAB285000294,CAB285001046,호서대(천안),1046,127.17972823,36.83039064
70,100,stop1,CAB285000054,CAB285000678,천안역,678,127.14884241,36.80911797
71,100,stop2,CAB285000054,CAB285002085,신부청광아파트,2085,127.15219328,36.82101139
72,100,stop3,CAB285000054,CAB285000978,두정역입구,978,127.15192241,36.83254631
73,100,stop4,CAB285000054,CAB285000527,직산역입구,526,127.14828574,36.87085795
74,100,stop5,CAB285000054,CAB285000098,성환역,98,127.12797942,36.91571532
75,100,stop1,CAB285000055,CAB285001612,성환역,1612,127.12817074,36.91556296
76,100,stop2,CAB285000055,CAB285000979,두정역입구,979,127.15181036,36.83139281
77,100,stop3,CAB285000055,CAB285000649,방죽안오거리,649,127.15115249,36.817435
78,100,stop4,CAB285000055,CAB285000677,천안역,677,127.14900627,36.80882941
79,100,stop5,CAB285000055,CAB285000670,버들육거리,670,127.1524533,36.8054539
80,110,stop1,CAB285000062,CAB285000678,천안역,678,127.14884241,36.80911797
81,110,stop2,CAB285000062,CAB285000650,방죽안오거리,650,127.1514936,36.8175776
82,110,stop3,CAB285000062,CAB285002085,신부청광아파트,2085,127.15219328,36.82101139
83,110,stop4,CAB285000062,CAB285000978,두정역입구,978,127.15192241,36.83254631
84,110,stop5,CAB285000062,CAB285000098,성환역,98,127.12797942,36.91571532
85,110,stop1,CAB285000063,CAB285001612,성환역,1612,127.12817074,36.91556296
86,110,stop2,CAB285000063,CAB285000526,직산역입구,527,127.14784407,36.87152298
87,110,stop3,CAB285000063,CAB285000979,두정역입구,979,127.15181036,36.83139281
88,110,stop4,CAB285000063,CAB285000648,신부청광아파트,648,127.15211514,36.82162686
89,110,stop5,CAB285000063,CAB285000677,천안역,677,127.14900627,36.80882941
90,200,stop1,CAB285000104,CAB285000678,천안역,678,127.14884241,36.80911797
91,200,stop2,CAB285000104,CAB285000685,종합터미널,685,127.1556582,36.8187607
92,200,stop3,CAB285000104,CAB285001052,상명대학교,1052,127.17395407,36.83428295
93,200,stop4,CAB285000104,CAB285000639,단대병원,639,127.17506574,36.84147798
94,200,stop5,CAB285000104,CAB285000563,충남예술고등학교,563,127.19904907,36.8692463
95,200,stop1,CAB285000105,CAB285000562,충남예술고등학교,562,127.19891575,36.86934631
96,200,stop2,CAB285000105,CAB285000641,단대병원,641,127.17427241,36.83938797
97,200,stop3,CAB285000105,CAB285000642,상명대학교,642,127.17300075,36.8330796
98,200,stop4,CAB285000105,CAB285000686,종합터미널,686,127.15564408,36.81897133
99,200,stop5,CAB285000105,CAB285000677,천안역,677,127.14900627,36.80882941
100,201,stop1,CAB285000106,CAB285000678,천안역,678,127.14884241,36.80911797
101,201,stop2,CAB285000106,CAB285000685,종합터미널,685,127.1556582,36.8187607
102,201,stop3,CAB285000106,CAB285001052,상명대학교,1052,127.17395407,36.83428295
103,201,stop4,CAB285000106,CAB285000639,단대병원,639,127.17506574,36.84147798
104,201,stop5,CAB285000106,CAB285000563,충남예술고등학교,563,127.19904907,36.8692463
105,201,stop1,CAB285000107,CAB285000562,충남예술고등학교,562,127.19891575,36.86934631
106,201,stop2,CAB285000107,CAB285000641,단대병원,641,127.17427241,36.83938797
107,201,stop3,CAB285000107,CAB285000642,상명대학교,642,127.17300075,36.8330796
108,201,stop4,CAB285000107,CAB285000686,종합터미널,686,127.15564408,36.81897133
109,201,stop5,CAB285000107,CAB285000677,천안역,677,127.14900627,36.80882941
110,700,stop1,CAB285000222,CAB285002283,백석대 정문,2283,127.1815669,36.8416896
111,700,stop2,CAB285000222,CAB285000642,상명대학교,642,127.17300075,36.8330796
112,700,stop3,CAB285000222,CAB285000686,종합터미널,686,127.15564408,36.81897133
113,700,stop4,CAB285000222,CAB285000655,천안역 동부광장,655,127.147642,36.8083388
114,700,stop5,CAB285000222,CAB285000284,선문대(천안),284,127.1646065,36.7730421
115,700,stop1,CAB285000223,CAB285000285,선문대(천안),285,127.16492241,36.77294961
116,700,stop2,CAB285000223,CAB285000656,천안역 동부광장,656,127.1477157,36.8081632
117,700,stop3,CAB285000223,CAB285000685,종합터미널,685,127.1556582,36.8187607
118,700,stop4,CAB285000223,CAB285001052,상명대학교,1052,127.17395407,36.83428295
119,700,stop5,CAB285000223,CAB285071733,백석대정문,71733,127.1816569,36.8416132
120,710,stop1,CAB285000226,CAB285002283,백석대 정문,2283,127.1815669,36.8416896
121,710,stop2,CAB285000226,CAB285000642,상명대학교,642,127.17300075,36.8330796
122,710,stop3,CAB285000226,CAB285000686,종합터미널,686,127.15564408,36.81897133
123,710,stop4,CAB285000226,CAB285000655,천안역 동부광장,655,127.147642,36.8083388
124,710,stop5,CAB285000226,CAB285000284,선문대(천안),284,127.1646065,36.7730421
125,710,stop1,CAB285000227,CAB285000285,선문대(천안),285,127.16492241,36.77294961
126,710,stop2,CAB285000227,CAB285000656,천안역 동부광장,656,127.1477157,36.8081632
127,710,stop3,CAB285000227,CAB285000685,종합터미널,685,127.1556582,36.8187607
128,710,stop4,CAB285000227,CAB285001052,상명대학교,1052,127.17395407,36.83428295
129,710,stop5,CAB285000227,CAB285071733,백석대정문,71733,127.1816569,36.8416132
